subject_id,k,tp_baseline,tp_graph,delta_tp,n_fixed,n_harmed
sub-002,4,1,1,0,0,0
sub-003,7,5,5,0,1,1
sub-004,6,5,4,-1,0,1
sub-009,4,1,1,0,0,0
sub-016,3,2,1,-1,0,1
sub-020,6,3,4,1,2,1
sub-022,5,4,4,0,1,1
sub-027,3,0,0,0,0,0
sub-048,7,5,6,1,1,0
sub-055,5,1,3,2,2,0
sub-057,6,3,3,0,0,0
sub-061,4,2,3,1,2,1
sub-066,3,2,2,0,0,0
sub-069,7,2,2,0,1,1
sub-076,4,2,3,1,1,0
sub-079,7,3,2,-1,0,1
sub-081,3,1,1,0,1,1
sub-083,7,4,6,2,2,0
sub-084,4,1,2,1,1,0
sub-094,7,5,5,0,1,1
sub-104,4,3,3,0,0,0
sub-112,6,2,4,2,2,0
sub-113,3,1,1,0,0,0
sub-118,4,3,4,1,1,0
sub-119,3,1,2,1,1,0
sub-132,3,1,1,0,0,0
sub-133,7,5,6,1,2,1
sub-135,5,1,1,0,0,0
